Name,Established,Location
Abastumani Astrophysical Observatory,1932,"Abastumani, Georgia"
Abu Reyhan-e Birooni Observatory,1976,"Shiraz University, Shiraz, Iran"
Adirondack Public Observatory,,"Tupper Lake, New York, USA"
Adolphson Observatory,2013,"Monmouth, Illinois, USA"
Advanced Composition Explorer (ACE),1997,Earth–Sun L1 point
Airdrie Public Observatory,1896,"Airdrie, Scotland"
Aker Observatory,1995,"Safford, Arizona, USA"
Aldershot Observatory,1906,"Aldershot, Hampshire, England"
Algonquin Radio Observatory,1959,"Algonquin Provincial Park, Ontario, Canada"
Allegheny Observatory,1859,"Pittsburgh, Pennsylvania, USA"
Ametlla de Mar Observatory,1992,"l'Ametlla de Mar, Catalonia, Spain"
AMiBA,2006,"Mauna Loa, Hawaii, USA"
Anderson Mesa Station,1959,"Flagstaff, Arizona, USA"
Angell Hall Observatory,1927,"Ann Arbor, Michigan, USA"
Ankara University Observatory,1963,"Gölba??, Ankara, Turkey"
Antarctic Muon and Neutrino Detector Array,2002,Antarctica
Antarctic Submillimeter Telescope and Remote Observatory,1994–2005,Antarctica
ANTARES (telescope),2008,In the Mediterranean Sea near Toulon
Apache-Sitgreaves Observatory,2005,"Overgaard, Arizona, USA"
Apache Point Observatory,,"Sunspot, New Mexico, USA"
Apatity Cosmic-Ray Station,,"Apatity, Russia"
Apollo Observatory,1969,"Dayton, Ohio, USA"
Arcetri Observatory,,"Arcetri, Florence, Italy"
Arecibo Observatory,1963,"Arecibo, Puerto Rico, USA"
Argentine Institute of Radio Astronomy,1966,"Berazategui Partido, Buenos Aires Province, Argentina"
Armagh Observatory,1790,"Armagh, United Kingdom"
Aryabhatta Research Institute of Observational Sciences,1954,"Nainital, Uttarakhand, India"
Ashton Observatory,1983,"Baxter, Iowa, USA"
Asiago Observatory,1942,"Asiago, Italy"
Assheton Observatory,1860,"Lancashire, United Kingdom"
Astron (defunct),1983–1989,Highly eccentric Earth orbit
Astronomical Observatory Aurora,2011,"Hechingen, Germany"
Astronomical Observatory of Lisbon,1867,"Lisbon, Portugal"
Astronomy Centre,1982,"Todmorden, England"
Astronomy Tower of the Sorbonne,1885-1909 (only for amateur use since 1980),"Paris, France"
Astrophysical Institute Potsdam,1992,"Potsdam, Germany"
Atacama Pathfinder Experiment (APEX),2003,"Llano de Chajnantor Observatory, Chile"
Australia Telescope Compact Array,1988,"Narrabri, Australia"
Australian Astronomical Observatory,1971,"Coonabarabran, Australia"
Badlands Observatory,2000,"Quinn, South Dakota, USA"
Baikal Deep Underwater Neutrino Telescope,1993,"Baikal Lake, Russia"
Bangladesh Astronomical Observatory,2015,"Dhaka, Bangladesh"
Baker Observatory,1980,"Marshfield, Missouri, USA"
Baksan Neutrino Observatory,1977,"Prielbrusye, Baksan Valley, Russia"
Ball State University Observatory,,"Muncie, Indiana, USA"
Barnard Observatory (defunct),1859,"Oxford, Mississippi, USA"
Bareket Observatory,1990,"Maccabim, Israel"
Barnett Observatory,1960,"Chesterfield, England, UK"
Bayfordbury Observatory,1969,"Hertfordshire, England, UK"
Behlen Observatory,1972,"Mead, Nebraska, USA"
Beijing Astronomical Observatory,1958,"Beijing, China"
Beijing Ancient Observatory,1442,"Beijing, China"
Belgrade Observatory,1887,"Belgrade, Serbia"
Belogradchik Observatory,1961,"Belogradchik, Bulgaria"
Benmore Peak Observatory,1996,"Mackenzie Basin, South Island, New Zealand"
BeppoSAX (defunct),1996–2003,Low Earth orbit
Bergisch Gladbach Observatory,,"Bergisch Gladbach, Germany"
Berlin Observatory,1711,Germany
Besançon Observatory,1882,"Besançon, France"
BESS,1993,Antarctic
Bidston Observatory,1849,"Bidston, England, UK"
Big Bear Lake Solar Observatory,1969,"Big Bear City, California, USA"
Bisdee Tier Optical Astronomy Observatory,2010,"Bisdee Tier, Spring Hill, Tasmania, Australia"
Black Moshannon Observatory (defunct),1972,"Pennsylvania, USA"
Blackett Observatory,1930s,"Wiltshire, England, UK"
Blue Mesa Observatory (defunct),1967,"New Mexico, USA"
Boambee Observatory,1987,"Boambee, NSW, Australia"
Bohyunsan Optical Astronomy Observatory (BOAO),1996,"Youngchun, Republic of Korea"
BOOTES,1985,Spain
Bordeaux Observatory,1878,"Floirac, France"
