telescope_name,aperture_m,aperture_in,mirror_type,host_nationality,site,year_built
1.26m infrared telescope,1.26 m,"49.5""",Single,China,"Xinglong Station, China",1991
1.52 m G.D. Cassini[52],1.52 m,60″,Single,Italy,"Mount Orzale, Italy",1976
1.56m optical telescope,1.56 m,62″,Single,China,"Shanghai Astronomical Observatory, China",1988
1.6 m Perkin Elmer[41],1.60 m,63″,Single,Brazil,"Pico dos Dias Observatory, Minas Gerais, Brazil",1981
1.8 meter telescope[32],1.80 m,71″,Single,China,"Gaomeigu site of Yunnan Astronomical Observatory, China",2009
1.88 m telescope[24],1.88 m,74″,Single,Japan,"Okayama Astrophysical Observatory, Japan",1960
1.8m Ritchey Cretien reflector[36],1.80 m,72″,Single,Korea,"Bohyunsan Optical Astronomy Observatory, Korea",1996
2.4-meter SINGLE Telescope,2.4 m ,94.5 in),Single,USA,"Magdalena Ridge Observatory, New Mexico, USA",2006/2008
"61"" Kuiper Telescope",1.55 m,61″,Single,USA,"Steward Observatory, Arizona, USA",1965[43]
69-inch Perkins Telescope[39],1.75 m,69″,Single,USA,"Perkins Observatory, Ohio, USA",1931–1964
72-Inch Perkins Telescope,1.83 m,72″,Single,USA,"Lowell Observatory, Arizona, USA",1964
"74"" reflector[25]",1.88 m,74″,Single,Australia,"Mount Stromlo Observatory, Australian Capital Territory, Australia",1955–2003
A.A. Common Reflector,0.914 m,36″,Single,Great Britain,Great Britain,1880–1896
Alfred Jensch Teleskop,2 m ,78.7 in),Single,Ger,"Karl Schwarzschild Observatory, Germany",1960
Aristarchos,2.3 m ,90.6 in),Single,ESO Countries+ Greece,"National Observatory of Athens, Mt. Helmos, Greece",2004
Automated Planet Finder,2.4 m ,94.5 in),Single,USA,"Lick Observatory, California, USA",2010
AZT-12[59],1.50 m,59″,Single,USSR,"Tartu Observatory, Estonia",1976
Babelsberg Zeiss[74],1.22 m,48″,Single,Germany,"Babelsberg Observatory, Berlin, Germany",1924–1947
Barabarella (OMI 48 inch)[78][79],1.22 m,48″,Single,USA,"Lowrey Observatory, Texas, USA",2008
BBO NST,1.60 m,63″,Solar,USA,"Big Bear Solar Observatory, California, USA",2009
Bernard Lyot Telescope,2 m ,78.7 in),Single,France,"Pic du Midi Obs., France",1980
Bok Telescope (90-inch),2.3 m ,90.6 in),Single,USA,"Kitt Peak National Observatory, Arizona, USA",1969
Carl Zeiss Jena,2 m ,78.7 in),Single,"Ukraine, Russia","Peak Terskol Observatory [ru], Russia",1995
Copernico 1.82 m[31],1.82 m,72″,Single,Italy,"Asiago Observatory, Italy",1976
Crossley Reflector[99],0.914 m,36″,Single,US+UK,"Lick Observatory, California, USA",1896
DDO 1.88 m,1.88 m,74″,Single,Canada,"David Dunlap Observatory, Ontario, Canada",1935
Dunn Solar Telescope ex-VTT,1.524 m,60″,Single,USA,"National Solar Observatory, New Mexico, USA",1969
Estación Astrofísica de Bosque Alegre[45],1.54 m,60.6″,Single,Argentina,"Estación Astrofísica de Bosque Alegre, Argentina",1942
Faulkes Telescope North,2 m ,78.7 in),Single,UK,"Haleakala Observatory, Hawaii, USA",2003[20]
Faulkes Telescope South,2 m ,78.7 in),Single,UK,"Siding Spring Observatory, New South Wales, Australia",2001
FLWO 1.5m Tillinghast[48],1.52 m,60″,Single,USA,"F. L. Whipple Observatory, Arizona",1994
Galileo 1.22 m[75],1.22 m,48″,Single,Italy,"Asiago Observatory, Italy",1942
GeoEye-1[84],1.10 m,43.3″,Single,USA,Earth Orbit (terrestrial viewing),2008
George Ritchey 40-inch (1 m)[87],1.02 m,40″,R/C,USA,"USNO Flagstaff Station, Arizona, USA (Washington, D.C. until 1955)",1934
Great Melbourne Telescope[76],1.22 m,48″,Metal,Great Britain,"Melbourne Observatory, Victoria, Australia",1878–1889
GREGOR solar/night telescope[62],1.50 m,59″,Single,Germany,"Teide Observatory, Tenerife, Spain",2012
Hänssgen's reflector[85],1.07 m,42″,Single,Germany,Mobile (~Germany),2002
Hale 60-Inch Telescope,1.524 m,60″,Single,USA,"Mt. Wilson Observatory, California, USA",1908
Hamburg Robotic Telescope (HRT)[83],1.20 m,47″,Single,Germany,"Hamburg-Bergdorf Obs., Germany",2002
Hamburg Spiegelteleskop (1m reflector)[97][98],1.00 m,39.4″,Single,Deutsches Reich (Germany),"Hamburg-Bergdorf Obs., Germany",1911
Harlan J. Smith Telescope,2.72 m ,107 in),Single,USA,"McDonald Observatory, Texas, USA",1969
Harvard 60-inch Reflector[47],1.524 m,60″,Single,USA,"Harvard College Observatory, Massachusetts, USA",1905–1931
Herschel 40-foot(1.26 m d.)[70],1.26 m,49.5″,Metal,Great Britain + Ireland,Observatory House; England,1789–1815
Hexapod-Telescope (HPT)[60],1.50 m,59″,Single,Germany,"Cerro Armazones Observatory, Antofagasta Region, Chile",2005
Hiltner Telescope,2.4 m ,94.5 in),Single,USA,"MDM Observatory (Kitt Peak), Arizona, USA",1986
Hooker 100-Inch Telescope,2.54 m ,100 in),Single,USA,"Mt. Wilson Observatory, California, USA",1917
Hubble (HST),2.4 m ,94.5 in),Single,NASA+ESA,Low Earth orbit,1990
INAOE 2.12 (OAGH)[14],2.12 m ,83.5 in),Single,Mexico + USA,"Guillermo Haro Observatory, Sonora, Mexico",1987
Irenee du Pont Telescope,2.54 m ,100 in),Single,USA,"Las Campanas Observatory, Coquimbo Region, Chile",1976
Isaac Newton Telescope (INT),2.54 m ,100 in),Single,UK,"ORM, Canary Islands, Spain (RGO, England, UK until '79)",1984
Jacobus Kapteyn Telescope,1.00 m,39.4″,Single,UK + Netherlands,"Isaac Newton Group, Canary Islands, Spain",1984
James Gregory Telescope,0.94 m,"37""",Single,Great Britain,"University of St Andrews, Scotland, UK",1962
Javalambre Survey Telescope (JAST/T250)[4],2.55 m ,100 in),Single,International,"Javalambre Observatory, Spain (Z32)",TBA
Kaj Strand Telescope[42],1.55 m,61″,Single,USA,"USNO Flagstaff Station, Arizona, USA",1964
Kepler Mission telescope,0.95 m,37.4″,Single,USA,Earth-trailing Orbit (Heliocentric),2009
Kitt Peak 2.1-meter,2.1 m ,82.7 in),Single,USA,"Kitt Peak National Observatory, Arizona, USA",1964
KLENOT[86],1.06 m,42″,Single,Czech Republic,"Kleť Observatory, Czech Republic",2002
Kottamia telescope 1.88 m[26][27],1.88 m,74″,Single,Egypt,Egypt,1960
Kuiper Airborne Obs.(KAO),0.914 m,36″,Single,USA,C-141 (mobile),1974–1995
Largest amateur telescope in 2013[38],1.778 m,70″,Single,USA,"Utah, USA (mobile)",2013
Leonhard Euler Telescope[81],1.20 m,47″,Single,Switzerland,"La Silla Observatory, Coquimbo Region, Chile",1998
Leviathan of Parsonstown,1.83 m,72″,Metal,Great Britain,Birr Castle; IrelandHistorical recreation,1845
Lijiang[5],2.4 m ,94.5 in),Single,China,"Yunnan Astronomical Observatory, China",2008
Liverpool Telescope[19],2 m ,78.7 in),Single,UK,"ORM, Canary Islands, Spain",2003
Lulin One-meter Telescope (LOT)[93],1.00 m,"39.4""",Single,Taiwan,"Lulin Observatory, Taiwan",2002
Lulin One-meter Telescope (LOT)[96],1.00 m,39.4″,Single,ROC (Taiwan),"Lulin Observatory, Taiwan",2002
MAGNUM[21],2 m ,78.7 in),Single IR,Japan,"Haleakala Observatory, Hawaii, USA",2001–2008
McGraw-Hill Telescope[68][69],1.27 m,50″,Single,USA,"MDM Observatory, Arizona, USA (1975 – present)Dexter, Michigan, USA (1969–1975)",1969
McMath-Pierce Solar Telescope,1.61 m,63″,Single,USA,"Kitt Peak National Observatory, Arizona, USA",1962
Mercator Telescope,1.20 m,47″,Single,Belgium+Switzerland,"ORM, Canary Islands, Spain",2001[82]
Meudon Observatory 1m[91],1.00 m,39.4″,Single,France,Meudon Observatory/ Paris Observatory,1891 [92]
MPIA 1.2[73],1.23 m,48.4″,Single,West Germany+Spain,"Calar Alto Obs., Alemíra, Spain",1975
MPIA-CAHA 2.2m[10][11],2.2 m ,86.6 in),Single,West Germany,"Calar Alto Observatory, Almería, Spain",1979
MPIA-ESO (ESO-MPI),2.2 m ,86.6 in),Single,West Germany,"La Silla Observatory, Coquimbo Region, Chile",1984[10]
"Mt. Lemmon 60"" Dahl-Kirkham Telescope[49]",1.52 m,60″,Single IR,USA,"Steward Obs. (Mt. Lemmon), Arizona, USA",1970
NAYUTA,2 m ,78.7 in),Single,Japan,"Nishi-Harima Observatory, Hyogo, Japan",2004
Near-Earth Object Survey Telescope (NEOST)[94],1.00 m,"39.4""",Single,China,"Purple Mountain Observatory, China",2006
Nickel Telescope,1.02 m,40″,Single,USA,"Lick Observatory, California, USA",1979
Nordic Optical Telescope (NOT),2.56 m ,101 in),Single,"Denmark, Sweden, Iceland, Norway, Finland","ORM, Canary Islands, Spain",1988
"Oak Ridge Observatory 61"" reflector[44]",1.55 m,61″,Single,USA,"Oak Ridge Observatory, Massachusetts, USA",1933
OAN 1.52 m[51],1.52 m,60″,Single,Spain,"Calar Alto Observatory, Almería, Spain",1970s
Observatoire du Mont-Mégantic,1.60 m,63″,Single IR,Canada,"Mont Mégantic Observatory, Québec, Canada",1978
OGS Telescope[95],1.00 m,39.4″,Single,European Space Agency countries,"Teide Observatory, Canary Islands, Spain",1995
OHP 1.52,1.52 m,60″,Single,France,"Haute-Provence Obs., France",1967
OHP 1.93,1.93 m,76″,Single,France,"Haute-Provence Observatory, France",1958
Ondřejov 2-m[17],2 m ,78.7 in),Single,Czechoslovakia,"Ondřejov Observatory, Czech",1967
Oskar-Lühning Telescope[80],1.20 m,47″,Single,Germany,"Hamburg Observatory, Germany",1975
Otto Struve Telescope,2.08 m ,81.9 in),Single,USA,"McDonald Observatory, Texas, USA",1939
Pan-STARRS PS1[33][34],1.8 m,71″,Single,"Germany, Taiwan, US, UK","Haleakala Observatory, Hawaii, USA",2007
Persona-1 (C.2441)[61],1.50 m,59″,Korsch,Russia,"Earth Orbit (SSO, terrestrial viewing)",2008
Plaskett telescope[30],1.83 m,72″,Single,Canada,"Dominion Astrophysical Observatory, British Columbia, Canada",1918
Ritchey-Chretien-Coude (RCC)[18],2 m ,78.7 in),Single,Bulgaria,"Rozhen Observatory, Bulgaria",1984
Rosse 36-inch Telescope,0.914 m,36″,Metal,Great Britain,Birr Castle; Ireland,1826
SAAO 1-meter Elizabeth Telescope,1.00m,39.4″,Single,South Africa,"South African Astronomical ObservatoryCape Town, South Africa (1962-c.1975)Sutherland, South Africa (c.1975–present)",1962
Samuel Oschin telescope,1.22 m,48″,Schmidt,USA,"Palomar Observatory, California, USA",1948
Sandy Cross Telescope[37],1.80 m,71″,Single,Canada,"Rothney Astrophysical Observatory, Alberta, Canada",1996
SETI Optical Telescope,1.83 m,72″,Single,USA,"Oak Ridge Observatory, Massachusetts, USA",2006[28]
SkyMapper,1.35 m,53.15″,Single,Australia,"Siding Spring Observatory, New South Wales, Australia",2008
Sloan DSS,2.5 m ,98.4 in),Single,USA,"Apache Point Observatory, New Mexico, USA",1997
SMARTS 0.9m Telescope,0.914 m,36″,Single,"USA, SMARTS","Cerro Tololo Inter-American Observatory, Coquimbo Region, Chile",1965
SOFIA,2.5 m ,98.4 in),Single,USA + Germany,"Boeing 747SP (mobile, USA)",2007
Spacewatch 0.9m Telescope,0.914 m,36″,Single,USA,"Steward Observatory enclave at Kitt Peak National Observatory, Arizona, USA","Contracted 1915, Completed 1921"
Spacewatch 1.8-meter Telescope[35],1.80 m,71″,Single,USA,"Kitt Peak National Observatory, Arizona, USA",2001
"Steward Observatory 60"" Cassegrain Telescope[50]",1.52 m,60″,Single,USA,"Steward Obs. (Mt. Lemmon), Arizona, USA",1960s
T-122,1.22 m,48″,Schmidt,Turkey,"ÇOMÜ Ulupınar Observatory, Çanakkale, Turkey",2002
T13 Automated Spectroscopic Telescope[15],2.06 m ,81.1 in),Single,"USA (NASA, NSF, & TSU)","Fairborn Observatory, Arizona, USA",2003
T1M,1.00 m,39.4″,Cassegrain,France,"Lyon Observatory, Saint-Genis-Laval, France",1970s
Telescopio Carlos Sánchez (TCS),1.52 m,60″,Single,UK + Spain,"Teide Observatory, Canary Islands, Spain",1971
Thai National Telescope (TNT),2.4 m ,94.5 in),Single,Thailand + SEAAN,"Thai National Observatory, Doi Inthanon, Thailand",2013
TIRGO Gornergrat Infrared Telescope[53],1.50 m,59″,Single IR,Italy + Switzerland,"Hochalpine Forschungsstation Jungfraujoch und Gornergrat, Alps, Switzerland",1979–2005
Toppo Telescope No.1 (TT1)[46],1.537 m,60.5″,Single (R/C),Italy,"Astronomical Observatory of Castelgrande, Italy",2008
UBC-Laval LMT,2.65 m ,104 in),Liquid,Canada,"Vancouver, British Columbia, Canada",1992–2016[1]
UK Schmidt Telescope,1.20 m,47″,Schmidt,UK,"Siding Spring Observatory, New South Wales, Australia",1973
University of Hawaii 2.2 m (UH88),2.24 m ,88.2 in),Single,USA,"Mauna Kea Observatories, Hawaii, USA",1970
USNOFS 1.3m[67],1.30 m,51″,Single,USA,"USNO Flagstaff Station, Arizona, USA",1998
