planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
11 Com b,,,326.03,2008.0,Radial Velocity,11 Com,110.6,2.7,19.0,,11 Com,b,326.03,0.231,19.4,,6165.6,Xinglong Station,2.16 m Telescope,0.0,264.140892,78.28052199999999,2.31
11 Oph b,21.0,,730000.0,2007.0,Imaging,11 Oph,145.0,0.0162,,0.011000000000000001,,,,,,,,,,,,,
11 UMi b,,,516.22,2009.0,Radial Velocity,11 UMi,119.5,1.8,24.08,1.56,11 UMi,b,516.21997,0.08,14.74,,4684.8142,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,108.71898200000001,41.044515999999994,1.93
14 And b,,,185.84,2008.0,Radial Velocity,14 And,76.4,2.2,11.0,,14 And,b,185.84,0.0,4.8,,1525.5,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,106.41155800000001,-21.05061,2.63
14 Her b,,,1773.4,2002.0,Radial Velocity,14 Her,18.1,0.9,0.708,5.1,14 Her,b,1773.4000199999998,0.37,4.66,,1481.0878,W. M. Keck Observatory,10 m Keck I Telescope,0.0,69.170376,46.944998999999996,4.45
16 Cyg B b,,,799.5,1996.0,Radial Velocity,16 Cyg B,21.41,1.01,0.98,8.0,16 Cyg B,b,798.5,0.68,1.78,,565.7374,Multiple Observatories,Multiple Telescopes,0.0,83.33646,13.204351999999998,4.36
18 Del b,,,993.3,2008.0,Radial Velocity,18 Del,73.1,2.3,8.5,,18 Del,b,993.3,0.08,10.3,,3273.5,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,58.691433999999994,-21.974823999999998,2.82
1I/'Oumuamua,,2e-06,,2017.0,Imaging,Sun,,1.0,1.0,,,,,,,,,,,,,,
1RXS 1609 b,14.0,1.7,,2008.0,Imaging,1RXS 1609,145.0,0.73,1.35,0.011000000000000001,,,,,,,,,,,,,
1RXS J235133.3+312720 b,32.0,,,2012.0,Imaging,1RXS J235133.3+312720,,0.45,,0.1,,,,,,,,,,,,,
1SWASP J1407 b,,,3725.0,2012.0,Primary Transit,1SWASP J1407,133.0,0.9,0.99,0.016,,,,,,,,,,,,,
24 Boo b,,,30.3506,2018.0,Radial Velocity,24 Boo,100.0,0.99,10.64,6.92,24 Boo,b,30.3506,0.042,0.91,,289.2253,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,90.162223,60.643666,2.42
24 Sex b,,,452.8,2010.0,Radial Velocity,24 Sex,72.2084,1.54,4.9,2.7,24 Sex,b,452.8,0.09,1.99,,632.46,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,245.085309,44.715734000000005,3.5
24 Sex c,,,883.0,2010.0,Radial Velocity,24 Sex,72.2084,1.54,4.9,2.7,24 Sex,c,883.0,0.29,0.86,,273.32,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,245.085309,44.715734000000005,3.5
2I/Borisov,,6.2e-05,,2019.0,Imaging,Sun,,1.0,1.0,,,,,,,,,,,,,,
2M 0103-55 (AB) b,13.0,,,2013.0,Imaging,2M 0103-55 (AB),47.2,0.4,,0.03,,,,,,,,,,,,,
2M 0122-24 b,20.0,1.0,,2013.0,Imaging,2M 0122-24,36.0,0.4,,0.12,,,,,,,,,,,,,
2M 0219-39 b,13.9,1.44,,2015.0,Imaging,2M 0219-39,39.4,0.11,0.27,,,,,,,,,,,,,,
2M 0441+23 b,7.5,,,2010.0,Imaging,2M 0441+23,140.0,0.02,,0.001,,,,,,,,,,,,,
2M 1938+46 b,1.9,,416.0,2015.0,Timing,2M  1938+46,,0.6,,,,,,,,,,,,,,,
2M 2140+16 b,20.0,0.92,7340.0,2010.0,Imaging,2M 2140+16,25.0,0.08,0.1,,,,,,,,,,,,,,
2M 2206-20 b,30.0,1.3,8686.0,2010.0,Imaging,2M 2206-20,26.67,0.13,0.11,,,,,,,,,,,,,,
2M 2236+4751 b,12.5,,,2016.0,Imaging,2M 2236+4751,63.0,0.6,,0.12,,,,,,,,,,,,,
2M J2126-81 b,13.3,,,2016.0,Imaging,TYC 9486-927-1,24.75,0.4,,0.027000000000000003,,,,,,,,,,,,,
2M0045+16,25.0,,,2019.0,Imaging,,15.4,,,,,,,,,,,,,,,,
2M0117-34,16.4,,,2019.0,Imaging,,39.02,,,,,,,,,,,,,,,,
2M1059-21 b,66.95,,690.0,2020.0,Astrometry,2M1059-21,31.81,0.81,,,,,,,,,,,,,,,
2M1207 A,60.0,,,2004.0,Imaging,,52.4,,,,,,,,,,,,,,,,
2M1207 b,5.0,,,2004.0,Imaging,,52.4,,,,,,,,,,,,,,,,
2M1510A a,40.0,1.57,20.901999999999997,2020.0,Primary Transit,,36.6,,,,,,,,,,,,,,,,
2M1510A b,39.3,1.57,20.901999999999997,2020.0,Primary Transit,,36.6,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,30.0,,,2009.0,Imaging,,34.7133,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,15.0,,126.0,2010.0,Imaging,,34.7133,,,,,,,,,,,,,,,,
2MASS J0249-0557 (AB) c,11.6,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J0249-0557A,48.0,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J0249-0557B,44.0,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J10475385+2124234,42.0,,,1999.0,Imaging,,10.56,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 A,50.0,,,2004.0,Imaging,,168.0,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,30.0,,,2004.0,Imaging,,168.0,,,,,,,,,,,,,,,,
2MASS J11193254 AB,3.7,,32850.0,2017.0,Imaging,2MASS J11193254 AB,,,,0.01,,,,,,,,,,,,,
2MASS J1155-7919 b,10.0,,,2020.0,Imaging,2MASS J1155-7919,101.15,,,0.005,,,,,,,,,,,,,
2MASS J1450-7841 A,40.0,,,2017.0,Imaging,2MASS J1450-7841 B,75.0,0.04,,,,,,,,,,,,,,,
2MASS J1450-7841 B,40.0,,,2017.0,Imaging,2MASS J1450-7841 A,75.0,0.04,,,,,,,,,,,,,,,
2MASS J15344984-2952274 A,30.1,,,2008.0,Astrometry,,15.9,,,,,,,,,,,,,,,,
2MASS J15344984-2952274 B,28.2,,5550.0,2008.0,Astrometry,,15.9,,,,,,,,,,,,,,,,
2MASS J2250+2325 b,30.0,,,2017.0,Imaging,2MASS J2250+2325,41.5,,,0.15,,,,,,,,,,,,,
30 Ari B b,,,335.1,2009.0,Radial Velocity,30 Ari B,39.4,1.22,1.23,0.91,30 Ari B,b,335.10001,0.29,13.82,,4392.4106,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,151.476148,-32.309490999999994,4.43
38 Vir b,,,825.9,2016.0,Primary Transit,38 Vir,,1.18,1.45,1.9,,,,,,,,,,,,,
4 Uma b,,,269.3,2007.0,Radial Velocity,4 Uma,78.5,1.234,,4.604,,,,,,,,,,,,,
42 Dra b,,,479.1,2009.0,Radial Velocity,42 Dra,97.3,0.98,22.03,9.49,42 Dra,b,479.1,0.38,3.88,,1233.13,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,95.41917099999999,27.125611,1.71
47 Uma b,,,1078.0,1996.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
47 Uma c,,,2391.0,2001.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
47 Uma d,,,14002.0,2010.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
51 Eri b,2.6,1.11,10260.0,2015.0,Imaging,51 Eri,29.4,1.75,,0.02,51 Eri,b,11688.0,0.45,,,,Gemini Observatory,8.19 m Gemini South Telescope,0.0,198.61262,-30.657612,
51 Peg b,0.47,1.9,4.2308,1995.0,Radial Velocity,51 Peg,14.7,1.11,1.266,4.0,51 Peg,b,4.230785,0.013000000000000001,0.47200000000000003,,150.009,Haute-Provence Observatory,1.93 m Telescope,0.0,90.062611,-34.727214000000004,4.33
55 Cnc b,0.84,,14.653139999999999,1996.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,b,14.651520000000001,0.0034,0.8306,,263.9785,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,196.794709,37.698968,4.45
55 Cnc c,,,44.373000000000005,2002.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,c,44.4175,0.02,0.1714,,54.4738,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,196.794709,37.698968,4.45
55 Cnc d,,,4867.0,2002.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,d,4825.0,0.019,3.878,,1232.493,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,196.794709,37.698968,4.45
55 Cnc e,0.027030000000000002,0.1737,0.7365478,2004.0,Primary Transit,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,e,0.736539,,0.025419999999999998,6.4,8.08,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,196.794709,37.698968,4.45
55 Cnc f,,,260.91,2007.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,f,262.0,0.305,0.141,,44.812,Multiple Observatories,Multiple Telescopes,0.0,196.794709,37.698968,4.45
6 Lyn b,68.8,,899.0,2008.0,Radial Velocity,6 Lyn,56.9,1.7,5.2,,6 Lyn,b,934.3,0.073,2.01,,638.8383,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,156.971465,20.189874,3.19
61 Vir b,,,4.215,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,b,4.215,0.12,0.016,,5.1,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
61 Vir c,,,38.021,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,c,38.021,0.14,0.057,,18.2,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
61 Vir d,,,123.01,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,d,123.01,0.35,0.07200000000000001,,22.9,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
7 CMA c,,,988.9,2019.0,Radial Velocity,7 CMa,19.75,1.52,2.3,,,,,,,,,,,,,,
7 CMa b,,,736.9,2011.0,Radial Velocity,7 CMa,19.75,1.52,2.3,,7 CMa,b,735.1,0.06,1.85,,587.9855,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,0.0,228.68839900000003,-11.796021000000001,3.19
70 Vir b,,,116.67,1996.0,Radial Velocity,70 Vir,22.0,0.92,1.9680000000000002,7.09,70 Vir,b,116.68799999999999,0.3988,7.416,,2357.0272800000002,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,337.665279,74.100664,3.95
75 Cet b,,,691.9,2012.0,Radial Velocity,75 Cet,81.5,2.49,10.5,,75 Cet,b,691.9,0.11699999999999999,3.0,,953.49,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,169.94419399999998,-54.441590000000005,2.63
8 Umi b,,,93.4,2015.0,Radial Velocity,8 Umi,159.1,1.8,9.9,1.7,,,,,,,,,,,,,
81 Cet b,,,952.7,2008.0,Radial Velocity,81 Cet,97.2,2.4,11.0,,81 Cet,b,952.7,0.20600000000000002,5.3,,1684.4,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,174.486548,-55.249930000000006,2.35
91 Aqr b,,,181.4,2003.0,Radial Velocity,91 Aqr,45.9,1.4,11.0,3.56,91 Aqr,b,181.4,0.027000000000000003,3.2,,1017.0,Lick Observatory,0.6 m Coude Auxiliary Telescope,0.0,67.071988,-61.112023,2.52
AB Dor C b,13.0,,,2019.0,Imaging,AB Dor C,15.8,0.07200000000000001,,,,,,,,,,,,,,,
AB Pic b,13.5,,,2005.0,Imaging,AB Pic,47.3,,,0.03,AB Pic,b,,,13.5,,4290.5,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0.0,266.943713,-26.930799,
AD 3116 b,54.2,1.02,1.982796,2017.0,Primary Transit,AD 3116,186.54,0.276,0.29,,,,,,,,,,,,,,
AS 205 A b,,,24.84,2017.0,Radial Velocity,AS 205A,140.0,0.9,3.7,,,,,,,,,,,,,,
