Name,Aperture m,Aper. in,Mirror type,Nationality of Sponsors,Site,Built
Harlan J. Smith Telescope,2.72 m ,107 in),Single,USA,"McDonald Observatory, Texas, USA",1969
UBC-Laval LMT,2.65 m ,104 in),Liquid,Canada,"Vancouver, British Columbia, Canada",1992–2016[1]
"Shajn 2.6m ""Crimean 102 in.""[2]",2.64 m ,104 in),Single,,"Crimean Astrophysical Obs., Russia/Ukraine",1961
VLT Survey Telescope (VST)[3],2.61 m ,102.8 in),Single,Italy + ESO countries,"Paranal Observatory, Antofagasta Region, Chile",2007
BAO 2.6,2.6 m ,102 in),Single,,"Byurakan Astrophysical Obs., Mt. Aragatz, Armenia",1976
Nordic Optical Telescope (NOT),2.56 m ,101 in),Single,"Denmark, Sweden, Iceland, Norway, Finland","ORM, Canary Islands, Spain",1988
Javalambre Survey Telescope (JAST/T250)[4],2.55 m ,100 in),Single,International,"Javalambre Observatory, Spain (Z32)",TBA
Isaac Newton Telescope (INT),2.54 m ,100 in),Single,UK,"ORM, Canary Islands, Spain (RGO, England, UK until '79)",1984
Irenee du Pont Telescope,2.54 m ,100 in),Single,USA,"Las Campanas Observatory, Coquimbo Region, Chile",1976
Hooker 100-Inch Telescope,2.54 m ,100 in),Single,USA,"Mt. Wilson Observatory, California, USA",1917
25,2.5 m ,98.4 in),Single,Russia,"Caucasian mountain observatory [ru], Russia",2014
SOFIA,2.5 m ,98.4 in),Single,USA + Germany,"Boeing 747SP (mobile, USA)",2007
Sloan DSS,2.5 m ,98.4 in),Single,USA,"Apache Point Observatory, New Mexico, USA",1997
Hiltner Telescope,2.4 m ,94.5 in),Single,USA,"MDM Observatory (Kitt Peak), Arizona, USA",1986
Thai National Telescope (TNT),2.4 m ,94.5 in),Single,Thailand + SEAAN,"Thai National Observatory, Doi Inthanon, Thailand",2013
Lijiang[5],2.4 m ,94.5 in),Single,China,"Yunnan Astronomical Observatory, China",2008
Hubble (HST),2.4 m ,94.5 in),Single,NASA+ESA,Low Earth orbit,1990
2.4-meter SINGLE Telescope,2.4 m ,94.5 in),Single,USA,"Magdalena Ridge Observatory, New Mexico, USA",2006/2008
Automated Planet Finder,2.4 m ,94.5 in),Single,USA,"Lick Observatory, California, USA",2010
Vainu Bappu[6][7],2.34 m ,92.1 in),Single,India,"Vainu Bappu Observatory, Tamil Nadu, India",1986
Aristarchos,2.3 m ,90.6 in),Single,ESO Countries+ Greece,"National Observatory of Athens, Mt. Helmos, Greece",2004
WIRO 2.3[8],2.3 m ,90.6 in),Single IR,USA,"Wyoming Infrared Observatory, Wyoming, USA",1977
ANU 2.3m ATT[9],2.3 m ,90.6 in),Single,,"Siding Spring Observatory, New South Wales, Australia",1984
Bok Telescope (90-inch),2.3 m ,90.6 in),Single,USA,"Kitt Peak National Observatory, Arizona, USA",1969
